ID,speaker,affiliation,position,bio,title,abstract,topic,session,day,start_time,duration,end_time
,,,,,,,Check-in,Tu.Ch,Tuesday 9th,08:30,30,09:00
,"Mikkel Baun Kjærgaard & Miguel Campusano",SDU,,"<br><b>Mikkel Baun Kjærgaard</b> is a professor at the Software Engineering Section at the University of Southern Denmark. His research focuses on software engineering and data-science with applications in ubiquitous computing and cyber-physical systems. He has contributed with new methods for human sensing and data analytics and methods for the optimization of software qualities, including performance, usability, integration, energy efficiency, and privacy protection. This has, among others, led to important contributions to data science methods within robotics, logistics, and activity recognition.<br><br><b>Miguel Campusano</b> is an associate professor at the Software Engineering Section at the University of Southern Denmark. He conducts research in the area of software engineering for robotic development, specifically focusing on programming languages, model-driven development, and programming experience. He has developed languages and tools to program mobile robots, drones, and cobots. The focus of these tools is to increase both developers' productivity and their understanding of different robotic systems.",Welcome Talk / SDU Keynote,Software Engineering in robotics system from SDU perspective,Keynote,Tu.W,Tuesday 9th,09:00,45,09:45
,,,,,,,Coffee Break,Tu.CB1,Tuesday 9th,09:45,15,10:00
,Mirgita Frasheri,Aarhus University,,,Building a Digital Twin for the Desktop Robotti,,Sessions & Discussions,Tu1,Tuesday 9th,10:00,20,10:20
,Andreas Wiedholz,XITASO GmbH,,,Self-adaptive systems based on ROS2: Current research plan,,Sessions & Discussions,Tu1,Tuesday 9th,10:20,20,10:40
,Till Schallau,TU Dortmund University,,,STARS: Classification of Scenarios and Checking of Functional Requirements of Automated Robotic Systems,,Sessions & Discussions,Tu1,Tuesday 9th,10:40,20,11:00
,Kevin Hermann,Ruhr University Bochum,,,A Taxonomy of Functional Security Features and How They Can Be Located,,Sessions & Discussions,Tu1,Tuesday 9th,11:00,20,11:20
,,,,,,,Lunch,Tu.Lu,Tuesday 9th,11:20,70,12:30
,,,,,,,I40Lab Tour,Tu.T,Tuesday 9th,12:30,120,14:30
,,,,,,,Coffee Break,Tu.CB2,Tuesday 9th,14:30,15,14:45
,Nils Chur,Ruhr University Bochum,,,Beyond the Control Equations: An Artifact Study of Implementation Quality in Robot Control Software,,Sessions & Discussions,Tu2,Tuesday 9th,14:45,20,15:05
,Felix Reuter,University of Southern Denmark,,,Simulation and Analysis of Vision-Based Welding Operations of Micro Panels in Shipbuilding,,Sessions & Discussions,Tu2,Tuesday 9th,15:05,20,15:25
,Ricardo Diniz Caldas,Gran Sasso Science Institute,,,Runtime Verification and Field-based Testing for ROS-based Robotic Systems,,Sessions & Discussions,Tu2,Tuesday 9th,15:25,20,15:45
,Ola Rønning,University of Copenhagen,,,Real-Time Bayesian Filtering for Pose Estimation with Stein Mixtures,,Sessions & Discussions,Tu2,Tuesday 9th,15:45,20,16:05
,,,,,,,Coffee Break,Tu.CB3,Tuesday 9th,16:05,15,16:20
,Mehran Rostamnia,Gran Sasso Science Institute (GSSI),,,Towards Adaptable and Uncertainty-aware Behavior Trees,,Sessions & Discussions,Tu3,Tuesday 9th,16:20,20,16:40
,Sune Lundø Sørensen,SDU Software Engineering,,,A Wearable Real-Time 2D/3D Eye-Gaze Interface to Realize Robot Assistance,,Sessions & Discussions,Tu3,Tuesday 9th,16:40,20,17:00
,Henriette Knopp,Ruhr-University Bochum,,,On Developing ML-based systems: Thinking Machine Learning on a Software Scale,,Sessions & Discussions,Tu3,Tuesday 9th,17:00,20,17:20
,,,,,,,Round Table Discussions,Tu.RT,Tuesday 9th,17:20,25,17:45
,,,,,,"Storms Pakhus<br>
<br>
We reserved a table in the local street food market Storm Pakhus, where we can have dinner and hang out together.<br>
Be aware that this event is not included in the registration fee.<br>
<br>
Address:<br>
Lerchesgade 4<br>
5000 Odense
<br>
<a href=""https://maps.app.goo.gl/PG8kAcihztF1283n6"">Google Maps</a>",Social Event,Tu.SE,Tuesday 9th,18:30,,,
,,,,,,"Turistbusholdepladsen Dannebrogsgade 5, 5000 Odense C. ",Airport Transportation,We.AT,Wednesday 10th,08:30,30,09:00
,,,,,,,Welcome / Overview,We.W,Wednesday 10th,09:00,20,09:20
,Ulrik Pagh Schultz Lundquist,SDU UAS,,,Keynote: SDU UAS,,Keynote,We.K1,Wednesday 10th,09:20,30,09:50
,,,,,,,Tour,We.T1,Wednesday 10th,09:50,20,10:10
,,,,,,,Coffee Break,We.CB1,Wednesday 10th,10:10,30,10:40
,,,,,,"Session x 2 (slots available)",Sessions & Discussions,We1,Wednesday 10th,10:40,40,11:20
,,,,,,,Round Table Discussions,We.RT1,Wednesday 10th,11:20,30,11:50
,,,,,,,Lunch,We.Lu,Wednesday 10th,11:50,25,12:15
,,,,,,,UR/MIR Transportation,We.T2,Wednesday 10th,12:20,40,13:00
,,,,,,,Executive Welcome,We.EW,Wednesday 10th,13:00,15,13:15
,,,,,Keynote 1: Academia vs Industry – insights from Universal Robots,,Keynote,We.K2,Wednesday 10th,13:15,45,14:00
